"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior","ub.bayes.sdprior","cover.bayes.sdprior","width.bayes.sdprior"
"1",1,100,0,49.0511195209522,51.0070875116899,1,1.95596799073773,49.0385961347297,51.0698983777934,1,2.03130224306371,49.2152104380112,50.8475833759386,1,1.63237293792735
"2",2,100,0,48.2339908353582,50.5327174056407,1,2.29872657028251,48.2956219080274,50.643726573178,1,2.34810466515061,48.4843995527997,50.3491750288988,1,1.8647754760991
"3",3,100,0,48.8802906677749,51.0665703445441,1,2.1862796767692,48.8777484736676,51.0151301451634,1,2.13738167149576,49.1060412217168,50.9390806847515,1,1.83303946303476
"4",4,100,0,48.7400136470138,50.6029305898945,1,1.86291694288067,48.7214134115803,50.6235687941749,1,1.90215538259464,48.9349084917614,50.4559343819753,1,1.52102589021398
"5",5,100,0,49.8895492791021,51.8260947846392,1,1.93654550553708,49.9425102439129,51.9376906570974,1,1.99518041318451,50.0757314112596,51.6663057306682,0,1.59057431940858
"6",6,100,0,48.9431759285496,50.8790204188183,1,1.93584449026872,48.9907955667407,50.810971420385,1,1.82017585364431,49.1314419824827,50.7228604901095,1,1.59141850762678
"7",7,100,0,50.1522990192157,52.418246792415,0,2.26594777319929,50.1123489871892,52.4483112642027,0,2.3359622770135,50.3348222978648,52.261136441539,0,1.92631414367418
"8",8,100,0,49.0742829128927,50.7603849887219,1,1.68610207582915,49.0083021595104,50.7060254574618,1,1.69772329795133,49.2580808858054,50.6670428765554,1,1.40896199075004
"9",9,100,0,48.7329437949383,50.7150218245774,1,1.9820780296391,48.7455206913924,50.7161067023906,1,1.97058601099818,48.9769380706639,50.5739918600807,1,1.59705378941676
"10",10,100,0,48.4303659779447,50.5180707378481,1,2.08770475990339,48.4102814649156,50.4777604161401,1,2.06747895122447,48.6017552991622,50.3714601061769,1,1.76970480701466
"11",11,100,0,48.8235724862201,50.7417934572653,1,1.91822097104519,48.8260116425154,50.7494859123684,1,1.92347426985305,49.0131871705532,50.5796713069791,1,1.56648413642587
"12",12,100,0,47.5812912613864,49.644131332575,0,2.06284007118857,47.539931681179,49.6423059718979,0,2.10237429071888,47.7401098710548,49.4258026382016,0,1.68569276714678
"13",13,100,0,49.6526174728998,51.5202444569512,1,1.86762698405134,49.6918039670933,51.5127815799479,1,1.82097761285464,49.8869250230576,51.3937418971682,1,1.50681687411055
"14",14,100,0,49.5864077930997,51.5215142658507,1,1.93510647275093,49.6535236086084,51.4547552332404,1,1.80123162463208,49.7808829943005,51.3613870119934,1,1.58050401769285
"15",15,100,0,49.0583927491222,51.1618539734818,1,2.10346122435966,49.0219115925769,51.2886201153465,1,2.26670852276958,49.2784957588113,50.9747896252268,1,1.69629386641545
"16",16,100,0,48.5424192729383,50.3556725504737,1,1.81325327753538,48.6226167471717,50.488479553669,1,1.86586280649735,48.7511670162248,50.2237856058826,1,1.47261858965789
"17",17,100,0,48.1219049664067,50.2020276961299,1,2.0801227297232,47.9650675497553,50.1542184212253,1,2.18915087146999,48.2894984664014,50.0378354338348,1,1.74833696743331
"18",18,100,0,50.1754247375743,52.1056690422917,0,1.93024430471745,50.1437156617233,52.1209233341898,0,1.97720767246649,50.3181941518277,51.9452042014406,0,1.62701004961294
"19",19,100,0,49.4625402577842,51.3832286255195,1,1.92068836773522,49.3912455960497,51.3574945752913,1,1.96624897924159,49.6292633270624,51.2168151461303,1,1.58755181906796
"20",20,100,0,49.5530784105617,51.4750693601339,1,1.92199094957216,49.530157751563,51.4315899277354,1,1.90143217617248,49.7440524783482,51.3172006082833,1,1.57314812993509
"21",21,100,0,47.9596099909846,50.2781286539974,1,2.31851866301272,47.927999756114,50.3012058576049,1,2.37320610149092,48.1994849018978,50.0811989377441,1,1.88171403584627
"22",22,100,0,49.3460628853541,51.49852477849,1,2.15246189313592,49.3934258305241,51.5994457970314,1,2.20601996650736,49.5652228181083,51.3359818937304,1,1.77075907562212
"23",23,100,0,49.6279338911418,51.5390296922782,1,1.91109580113641,49.5972641344997,51.4924623882854,1,1.89519825378571,49.8060035105395,51.3971120183941,1,1.59110850785458
"24",24,100,0,48.5001366217621,50.4341870277478,1,1.9340504059857,48.5095355754766,50.4413883383902,1,1.93185276291355,48.7308571231108,50.3331103071939,1,1.6022531840831
"25",25,100,0,48.9019986474388,50.9021014551131,1,2.00010280767434,48.7789365256997,50.8319040590283,1,2.05296753332854,49.1104601256256,50.7490340259331,1,1.6385739003075
"26",26,100,0,49.4249619793349,51.4645952905343,1,2.03963331119937,49.4003071998201,51.4152886146883,1,2.01498141486816,49.6097546560618,51.2757321594841,1,1.66597750342223
"27",27,100,0,49.864773566219,51.7248139919416,1,1.86004042572254,49.7908988828545,51.7302838041691,1,1.93938492131458,50.0213031371472,51.5780908517013,0,1.55678771455414
"28",28,100,0,49.5864051950854,51.5705806573938,1,1.9841754623084,49.4667418271402,51.5460957475537,1,2.07935392041344,49.7588681884959,51.4230084061995,1,1.6641402177036
"29",29,100,0,49.0213720824708,50.9418510202224,1,1.92047893775157,48.8826848568744,50.8797551130798,1,1.99707025620535,49.1911178529074,50.76669866965,1,1.57558081674259
"30",30,100,0,49.1974721359875,51.0108182488227,1,1.81334611283521,49.1792331386018,51.0368743822474,1,1.8576412436456,49.3788777020001,50.8846872197164,1,1.50580951771628
"31",31,100,0,48.5519897422222,50.338046192109,1,1.78605644988677,48.5911344503069,50.4323053792916,1,1.84117092898468,48.7391098909932,50.1946723845483,1,1.45556249355512
"32",32,100,0,49.7512884883557,51.6168809919463,1,1.86559250359059,49.7447244162771,51.5896404262269,1,1.84491600994975,49.9307089015255,51.4640988196124,1,1.53338991808681
"33",33,100,0,48.6695165169815,50.6814266426081,1,2.01191012562658,48.7534631377186,50.7713050998406,1,2.01784196212193,48.8556471894527,50.4753343075165,1,1.61968711806381
"34",34,100,0,50.1268198999972,51.9924137145105,0,1.86559381451323,50.0941830632534,51.8749891456749,0,1.78080608242152,50.295769283956,51.8859311551166,0,1.59016187116067
"35",35,100,0,49.8811772513823,51.7003336061783,1,1.81915635479601,49.8576733818954,51.7493563933059,1,1.8916830114105,50.0104801304434,51.5664781711676,0,1.55599804072417
"36",36,100,0,49.7057605957792,51.503650175096,1,1.79788957931679,49.7107898409243,51.4880048424615,1,1.7772150015372,49.8666829076194,51.3804168342834,1,1.51373392666395
"37",37,100,0,48.5954196108079,50.3490266568826,1,1.75360704607465,48.6441855509192,50.3378440407182,1,1.69365848979897,48.7780230567707,50.232539544158,1,1.45451648738727
"38",38,100,0,49.1803932154384,51.1392614020338,1,1.95886818659544,49.1368477831994,51.0511287428751,1,1.91428095967571,49.3814528347929,51.0054535211356,1,1.6240006863427
"39",39,100,0,48.7803474319212,50.780588461605,1,2.00024102968379,48.7372805547645,50.8102754425906,1,2.07299488782616,48.9284903180755,50.6347296055606,1,1.70623928748509
"40",40,100,0,49.3571335817326,51.3567549620065,1,1.99962138027387,49.3240024884186,51.3905679046974,1,2.06656541627874,49.5389695693709,51.1903031012771,1,1.65133353190615
"41",41,100,0,49.1562556201588,51.1419936775061,1,1.98573805734722,49.1037498565428,51.1318411648868,1,2.02809130834403,49.3519517411811,51.0091937369328,1,1.65724199575173
"42",42,100,0,48.594179524865,50.6094791044764,1,2.01529957961138,48.5898692280791,50.5990497828307,1,2.00918055475159,48.8196241374158,50.4571507788938,1,1.63752664147796
"43",43,100,0,49.2020848043765,51.0645385963662,1,1.86245379198967,49.1824112502884,51.0615730824785,1,1.87916183219011,49.3350840829142,50.960199134074,1,1.62511505115985
"44",44,100,0,49.9506189596828,51.7475346915507,1,1.79691573186788,49.9204673993188,51.7544553933033,1,1.83398799398458,50.1305564950446,51.5865702630921,0,1.45601376804751
"45",45,100,0,47.6281992270762,49.5446606673727,0,1.91646144029647,47.5908530784685,49.5702207523716,0,1.97936767390311,47.7794549072548,49.3876388315194,0,1.60818392426459
"46",46,100,0,48.4690359894497,50.3352433570808,1,1.86620736763105,48.4930092065031,50.3667212508485,1,1.87371204434545,48.6048637387485,50.1811924187116,1,1.57632867996306
"47",47,100,0,49.1024168267003,51.2643579809537,1,2.1619411542534,49.0771635173947,51.1889523260707,1,2.11178880867601,49.2642468155295,51.0888633175094,1,1.82461650197988
"48",48,100,0,49.2241237639906,51.0995399433689,1,1.87541617937829,49.2415793702509,51.0494408092077,1,1.80786143895675,49.3873355223726,50.9454337912649,1,1.55809826889226
"49",49,100,0,49.620407924519,51.3818562079986,1,1.76144828347969,49.6719836708588,51.3894096656826,1,1.71742599482376,49.7898173013922,51.1980042440823,1,1.40818694269016
"50",50,100,0,48.6251649237757,50.446534893699,1,1.82136996992321,48.6213416172748,50.5412593105114,1,1.91991769323653,48.802604484068,50.2738866155157,1,1.47128213144776
"51",51,100,0,48.7445815280416,51.0055526310481,1,2.26097110300643,48.7688110927355,51.0374939742629,1,2.26868288152742,48.9144165900518,50.8350661775441,1,1.92064958749234
"52",52,100,0,48.8071786848034,50.69239225795,1,1.88521357314656,48.8032779034641,50.7017576197842,1,1.8984797163201,48.9659101867047,50.5105966852315,1,1.54468649852681
"53",53,100,0,49.1210653811105,51.0517002902681,1,1.93063490915765,48.9767166749928,51.0253661039189,1,2.04864942892612,49.2848596451597,50.9188457268881,1,1.63398608172835
