"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior5","ub.bayes.sdprior5","cover.bayes.sdprior5","width.bayes.sdprior5"
"1",1,10,-0.9,66.2298329391268,77.8573073331736,1,11.6274743940468,65.1441713667141,77.2725682349174,1,12.1283968682033,67.3568127837499,76.9563637804086,1,9.59955099665865
"2",2,10,-0.9,64.3251322825099,79.4613938123751,1,15.1362615298652,63.5141631888438,78.9017177236159,1,15.387554534772,65.6904511280276,78.5696187241614,1,12.8791675961338
"3",3,10,-0.9,63.2727443607364,77.2935576733036,1,14.0208133125672,59.4078079122913,75.2673445570239,1,15.8595366447326,64.3729179906658,76.0839659046398,1,11.711047913974
"4",4,10,-0.9,54.7564629472673,72.6772507698126,1,17.9207878225453,53.4382634247602,71.4109350506979,1,17.9726716259377,56.9240788179499,71.743618277277,1,14.8195394593271
"5",5,10,-0.9,58.8980588630349,77.114399931646,1,18.216341068611,54.8985540192578,75.1236452105471,1,20.2250911912893,60.4532985364681,75.2237487097243,1,14.7704501732561
"6",6,10,-0.9,70.3958817857851,81.3422913178095,0,10.9464095320244,70.1816678631306,81.3411367354001,0,11.1594688722696,71.1987308044095,80.3769521390328,0,9.17822133462326
"7",7,10,-0.9,66.2848843893623,77.8996471668011,1,11.6147627774388,64.2412959830365,76.6585268585899,1,12.4172308755534,67.1395793499531,76.8554208615715,1,9.71584151161842
"8",8,10,-0.9,56.1993110087577,77.3710955690589,1,21.1717845603012,56.4533238610949,76.6284737511988,1,20.1751498901039,58.287083721902,75.2387604490405,1,16.9516767271384
"9",9,10,-0.9,56.8777168958233,76.3309891731929,1,19.4532722773697,55.2277543363438,75.5361612047522,1,20.3084068684084,59.1407342672513,75.0525656205775,1,15.9118313533262
"10",10,10,-0.9,43.4240937119303,68.8049093501559,1,25.3808156382256,40.7500594220507,67.1598663193197,0,26.409806897269,48.3425029640064,66.7227413267441,0,18.3802383627377
"11",11,10,-0.9,64.0977250596058,80.1382300731232,1,16.0405050135174,64.9732111933409,81.2839862175156,1,16.3107750241747,65.2641918194604,78.7605849322336,1,13.4963931127733
"12",12,10,-0.9,51.7700300039437,71.825136990277,1,20.0551069863333,53.0324975197146,72.7394309325401,1,19.7069334128255,54.3510175248666,70.4497916397487,1,16.0987741148821
"13",13,10,-0.9,66.5192145237825,79.0481914910729,1,12.5289769672904,64.3165291183792,77.8918092951631,1,13.5752801767839,67.6719780255404,78.1622988188466,1,10.4903207933062
"14",14,10,-0.9,57.9251078359886,74.2415895102442,1,16.3164816742556,54.6022940789306,71.6849808768654,1,17.0826867979348,59.3599693613779,73.4312886983568,1,14.0713193369789
"15",15,10,-0.9,64.2155541488637,82.4908400155221,1,18.2752858666585,59.6036497679385,79.852192747429,1,20.2485429794905,65.3596099164715,81.5340836318056,1,16.1744737153341
"16",16,10,-0.9,61.3725085879703,77.8982560683798,1,16.5257474804095,60.4732717463787,76.8509482692272,1,16.3776765228486,63.0870941667386,76.0762428195986,1,12.98914865286
"17",17,10,-0.9,64.0388322263902,75.615159912278,1,11.5763276858878,61.8989598165078,74.633808015185,1,12.7348481986772,65.0495593661303,74.8742770793301,1,9.82471771319977
"18",18,10,-0.9,59.6267025172226,79.5224380258865,1,19.8957355086639,55.997040355803,76.4945200902813,1,20.4974797344784,61.642385810236,77.6991013001443,1,16.0567154899082
"19",19,10,-0.9,63.7566235347329,79.4833725093639,1,15.726748974631,58.9868059042753,77.2116630337247,1,18.2248571294493,64.9187986682532,78.0684161078009,1,13.1496174395477
"20",20,10,-0.9,61.9238538544772,80.0736432175499,1,18.1497893630727,58.4388649731611,78.3614208767684,1,19.9225559036074,63.4144328660192,78.5243796353533,1,15.1099467693342
