"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior","ub.bayes.sdprior","cover.bayes.sdprior","width.bayes.sdprior"
"1",1,7,-0.9,65.3059049065468,88.4458236947307,1,23.1399187881839,62.4429678869399,86.2968556072275,1,23.8538877202876,69.7668832904002,86.2190533723587,1,16.4521700819586
"2",2,7,-0.9,65.7668900644688,92.6656326729247,1,26.8987426084558,58.0085488942735,89.4042764795165,1,31.395727585243,72.1626919717661,91.649524441712,1,19.4868324699459
"3",3,7,-0.9,67.8059822639955,94.8600697522939,1,27.0540874882984,63.9701155580599,92.2919782320167,1,28.3218626739568,74.0206116966883,93.8022389015072,1,19.7816272048189
"4",4,7,-0.9,59.2852134384711,86.7701252927015,1,27.4849118542303,58.0944060036351,84.9853149142274,1,26.8909089105924,65.5694087228665,85.5878704098343,1,20.0184616869678
"5",5,7,-0.9,68.7239362304084,93.7116563591087,1,24.9877201287003,61.7768822574522,89.5570883026433,1,27.7802060451911,74.5589804560389,92.4358078348915,1,17.8768273788526
"6",6,7,-0.9,62.8909544118185,91.1503944477379,1,28.2594400359194,60.9162009062828,89.2083647293265,1,28.2921638230437,69.1052295536809,91.3037355464609,1,22.19850599278
"7",7,7,-0.9,62.2034683144871,89.4125117234157,1,27.2090434089286,62.5024186522895,88.0778539377989,1,25.5754352855094,68.3713966825592,87.3092687079008,1,18.9378720253416
"8",8,7,-0.9,55.7398456779141,88.3083031133484,1,32.5684574354342,55.6314339168594,87.0985099320338,1,31.4670760151744,64.1489606062216,86.2434721472635,1,22.0945115410419
"9",9,7,-0.9,63.011001393668,85.7118150365808,1,22.7008136429127,60.8782442639687,84.4545545564686,1,23.5763102924999,67.5075334027049,83.6283683894187,1,16.1208349867138
"10",10,7,-0.9,60.7112444344419,89.443790073171,1,28.7325456387291,60.0882919179714,89.4062243714389,1,29.3179324534675,67.5394985795133,87.6774651686804,1,20.1379665891671
"11",11,7,-0.9,61.7420805738644,91.5801002506578,1,29.8380196767933,58.2804870469395,89.4930065386,1,31.2125194916605,69.1570213804039,90.593821027679,1,21.4367996472751
"12",12,7,-0.9,50.2459726744364,74.2682799040942,0,24.0223072296578,53.8363557007117,81.18517057621,1,27.3488148754983,55.3026817387185,71.6751410592774,0,16.3724593205588
"13",13,7,-0.9,64.2845418910484,94.6272528894544,1,30.3427109984061,60.9734222554156,93.1561349970788,1,32.1827127416632,72.2538154629826,93.5539403055839,1,21.3001248426013
"14",14,7,-0.9,61.5847396056336,86.4106942006144,1,24.8259545949808,61.8749921529339,85.9563323857849,1,24.081340232851,66.8778207631108,84.1524545667411,1,17.2746338036303
"15",15,7,-0.9,61.9587331117775,94.804113620386,1,32.8453805086085,59.0957848662951,91.5484867780692,1,32.4527019117741,70.546361724971,92.6468503765058,1,22.1004886515347
"16",16,7,-0.9,67.1614731704913,89.3199786090658,1,22.1585054385746,62.4549365546777,85.4828032754084,1,23.0278667207306,71.280864355734,87.5646259998598,1,16.2837616441258
"17",17,7,-0.9,61.3255002706675,86.8993575902897,1,25.5738573196222,61.3948241077856,86.2177387373519,1,24.8229146295663,66.682673861748,85.1332827029544,1,18.4506088412064
"18",18,7,-0.9,63.1251047509962,94.8170189171704,1,31.6919141661741,58.423747738807,91.8787647435182,1,33.4550170047112,71.1074761667789,94.1243663379199,1,23.016890171141
"19",19,7,-0.9,66.797606962334,88.6933023905552,1,21.8956954282212,61.5262469060105,85.6357129742715,1,24.109466068261,70.8558792458539,86.461128357819,1,15.605249111965
"20",20,7,-0.9,60.5062215868686,86.4028677879434,1,25.8966462010748,61.3404479533078,86.7323503884608,1,25.391902435153,66.2367368565327,84.8446908301072,1,18.6079539735746
"21",21,7,-0.9,58.9668648362238,90.0179050709187,1,31.0510402346949,58.0982821619678,88.8933188935456,1,30.7950367315778,66.6055661671508,88.8607727308022,1,22.2552065636515
"22",22,7,-0.9,69.2148218450807,91.953463456511,1,22.7386416114303,62.6387410782209,87.8938132759668,1,25.2550721977459,73.5221232979407,90.4718736833961,1,16.9497503854554
"23",23,7,-0.9,61.3447724761259,88.3663371222982,1,27.0215646461723,57.9835585556132,86.0598350821786,1,28.0762765265654,67.4949857096166,86.7294443364496,1,19.2344586268329
"24",24,7,-0.9,66.0157979292706,90.0573520264389,1,24.0415540971683,60.9535183863465,87.5303152813549,1,26.5767968950084,71.0431375268222,88.5143271305435,1,17.4711896037213
"25",25,7,-0.9,67.9228226790347,92.9466987172747,1,25.02387603824,63.3359241320099,89.5854920228298,1,26.2495678908199,73.744724693956,91.8630876216604,1,18.1183629277044
"26",26,7,-0.9,55.84743678164,87.3099034211694,1,31.4624666395294,52.5347480463766,85.3377467787405,1,32.8029987323639,63.6050095376376,86.0317938505012,1,22.4267843128636
"27",27,7,-0.9,59.2523001712638,86.710100851852,1,27.4578006805883,60.9506018816558,86.650498674122,1,25.6998967924662,65.2926589355182,84.7098449052489,1,19.4171859697307
"28",28,7,-0.9,59.1957587855976,92.1868149290622,1,32.9910561434645,54.2417932381728,88.1825100233085,1,33.9407167851357,68.1371892764096,90.9737935654031,1,22.8366042889935
"29",29,7,-0.9,70.4857776506276,94.161023075846,1,23.6752454252185,62.8540258924877,89.6628763169952,1,26.8088504245074,75.4636922805188,92.9844837261646,1,17.5207914456458
"30",30,7,-0.9,54.3266196807956,83.4969525987092,1,29.1703329179136,55.2149392677011,82.5545547398071,1,27.3396154721059,61.043070456688,81.2969249973054,1,20.2538545406173
"31",31,7,-0.9,66.9213946084785,95.0050900738444,1,28.0836954653659,63.8640890097082,92.6980543366626,1,28.8339653269544,73.6979558420581,94.8920337137422,1,21.1940778716841
"32",32,7,-0.9,62.6992874524512,90.2942258255644,1,27.5949383731132,60.0020784643844,89.576224989891,1,29.5741465255066,69.4356860505565,89.3165018258669,1,19.8808157753105
"33",33,7,-0.9,59.2181329476165,90.269831743689,1,31.0516987960725,57.5194625224229,88.1160431092226,1,30.5965805867997,67.0682320420362,89.1165540338777,1,22.0483219918415
"34",34,7,-0.9,63.3371347989404,87.2255579143748,1,23.8884231154344,59.2516159886966,84.9956001530305,1,25.7439841643339,68.0573268596876,85.1852076912438,1,17.1278808315563
"35",35,7,-0.9,67.0785372888324,90.3078681169232,1,23.2293308280908,63.260610199218,87.0441828314674,1,23.7835726322494,71.4048871092977,88.1645813164969,1,16.7596942071991
"36",36,7,-0.9,62.1799598280667,91.7674220995058,1,29.5874622714391,61.4808749723552,89.8103415751314,1,28.3294666027762,69.862890645002,90.6048224324554,1,20.7419317874534
"37",37,7,-0.9,56.2802084832255,81.2510330780416,1,24.9708245948161,58.519213457698,81.02920990096,1,22.509996443262,61.6618503299952,78.7125416694445,0,17.0506913394492
"38",38,7,-0.9,63.1720942233511,85.9978728602309,1,22.8257786368798,59.6845119579281,84.2874783676492,1,24.6029664097212,67.4652300391142,84.107576899583,1,16.6423468604687
"39",39,7,-0.9,62.527875397732,88.9987400865878,1,26.4708646888558,61.4686850012958,87.833621788861,1,26.3649367875652,69.0023041983315,87.5443240833318,1,18.5420198850003
"40",40,7,-0.9,59.6689802218602,90.5017206889461,1,30.832740467086,59.8520996721851,89.1779941615763,1,29.3258944893913,67.0885637277195,90.0763270744652,1,22.9877633467457
"41",41,7,-0.9,64.2564254707459,89.5984138397861,1,25.3419883690402,59.4072877115385,86.5712689973636,1,27.1639812858251,70.0649405453902,88.8673724116974,1,18.8024318663072
"42",42,7,-0.9,66.5204403908141,88.7776978896657,1,22.2572574988516,62.0446033394002,86.3420834035584,1,24.2974800641582,70.6783148338714,86.6123897414324,1,15.934074907561
"43",43,7,-0.9,65.3006204365144,95.3989009904465,1,30.0982805539321,62.0150311759827,91.9814458237342,1,29.9664146477515,73.1725284030048,94.491264767657,1,21.3187363646521
"44",44,7,-0.9,61.4311780486428,93.8631561808121,1,32.4319781321693,57.6373438468387,91.8998611792552,1,34.2625173324165,70.0618567390751,92.9680898090179,1,22.9062330699428
"45",45,7,-0.9,68.4179546052533,94.6745301991481,1,26.2565755938948,63.0924545750848,91.164169011904,1,28.0717144368192,74.5698024026457,93.3328559279039,1,18.7630535252582
"46",46,7,-0.9,64.9948534457318,92.6580676690211,1,27.6632142232893,62.9122400694307,90.2955951695991,1,27.3833551001684,71.4880452087408,91.0418797637276,1,19.5538345549869
"47",47,7,-0.9,58.9258446377608,91.6474626663088,1,32.721618028548,55.8570419051676,89.2710805017578,1,33.4140385965901,68.0629588593913,91.2109780243938,1,23.1480191650025
"48",48,7,-0.9,61.481442597486,92.4409026160825,1,30.9594600185964,56.6682247273525,89.7598784831803,1,33.0916537558278,69.4362533923741,91.3016370868204,1,21.8653836944464
"49",49,7,-0.9,65.3328230381701,86.0477537564651,1,20.7149307182951,60.0378833965847,83.2535962579411,1,23.2157128613564,69.3398862059842,83.6439071051787,1,14.3040208991946
"50",50,7,-0.9,61.1348083170188,87.8115686222978,1,26.676760305279,59.9444245179873,85.9016629735211,1,25.9572384555338,67.4056882741303,86.2662772919263,1,18.860589017796
"51",51,7,-0.9,61.0987870940438,93.4382666686469,1,32.3394795746031,58.756014648338,90.7936613273262,1,32.0376466789883,69.7122372532286,92.4865831154244,1,22.7743458621958
"52",52,7,-0.9,49.4365572391479,88.6885096327932,1,39.2519523936452,50.3041176880991,87.7515427851673,1,37.4474250970682,61.32252720629,88.5313713885997,1,27.2088441823097
"53",53,7,-0.9,50.8362372335054,90.9046750739918,1,40.0684378404864,47.5826136407783,87.3242598125248,1,39.7416461717464,62.5169122505808,90.2129095703263,1,27.6959973197456
"54",54,7,-0.9,54.2825483820362,88.0028850124711,1,33.720336630435,51.4629293038924,85.4825150219248,1,34.0195857180324,63.1765610029428,86.7158527220881,1,23.5392917191453
"55",55,7,-0.9,61.4799145688481,92.1074884317957,1,30.6275738629476,58.8264118067111,89.8900070448555,1,31.0635952381444,69.460135419882,91.1500785958664,1,21.6899431759843
