"","trial","mean1","mean2","median.sampsmu1","lb.mu1","ub.mu1","width.mu1","cover.mu1","median.samps.mu2","lb.mu2","ub.mu2","width.mu2","cover.mu2","perc.correct","lb.tdist","ub.tdist","width.tdist","cover.tdist.mean1","cover.tdist.mean2","lb.bca.exp","ub.bca.exp","width.bca.exp","cover.bca.exp.mean1","cover.bca.exp.mean2"
"1",1,45,55,43.7231173757626,38.4298902081984,49.1331943789,10.7033041707016,1,78.0470996796502,68.4718128044333,87.3996211614852,18.9278083570518,0,0.5,31.3718841408028,51.3333469494531,19.9614628086503,1,0,28.5600519915917,49.6013989518246,21.0413469602329,1,0
"2",2,45,55,50.4761659145184,43.4628373068045,56.517791825559,13.0549545187545,1,77.7612534655789,67.3512699919207,87.0472947247339,19.6960247328132,0,0.6,45.4695844495038,62.5202094614462,17.0506250119425,0,1,47.1382085431488,65.6249475359,18.4867389927512,0,1
"3",3,45,55,48.9385739646652,43.553244643529,54.1021447165805,10.5489000730515,1,77.178764174951,68.8182130588815,85.6534870500044,16.8352739911228,0,0.4,41.1303787192403,54.5903975677906,13.4600188485503,1,0,41.436072907794,54.8297210164498,13.3936481086558,1,0
"4",4,45,55,44.6179841328449,38.6415100329936,50.3409791420524,11.6994691090589,1,76.070270818381,66.2271629169139,84.3523577243206,18.1251948074068,0,0.7,35.2399364160478,57.772137925611,22.5322015095632,1,1,33.8154545547155,56.837156956562,23.0217024018465,1,1
"5",5,45,55,47.4802429695331,40.422085532149,53.6665813586766,13.2444958265276,1,76.7957420425175,64.8758765401789,85.9407962177058,21.0649196775269,0,0.7,39.5163818031798,59.1858029471903,19.6694211440104,1,1,34.7868262052385,56.751980605097,21.9651543998585,1,1
"6",6,45,55,48.1478937803512,42.2002951855521,53.3885385088465,11.1882433232943,1,80.1721085694691,69.3779438338509,88.1601868165498,18.7822429826989,0,0.5,40.6983583297006,54.0170983995548,13.3187400698543,1,0,40.9392736219886,53.9953590374395,13.056085415451,1,0
"7",7,45,55,49.3435074168605,41.5502466001265,55.3828249966206,13.8325783964941,1,76.686135825589,65.3262250925467,86.7980391135946,21.4718140210479,0,0.3,42.7154506061545,60.2151934479033,17.4997428417488,1,1,41.9739946689017,58.8529191534443,16.8789244845426,1,1
"8",8,45,55,46.8885663649007,40.9152901602287,52.4376005918376,11.522310431609,1,78.2436313830692,69.5151239485998,87.311180978767,17.7960570301672,0,0.7,38.4213988758464,53.9994953997959,15.5780965239495,1,0,40.0297998936565,55.7758688368478,15.7460689431913,1,1
"9",9,45,55,46.6839934536775,41.0465946326038,51.799060496273,10.7524658636692,1,77.0164178952497,66.204225073837,86.2164921271909,20.0122670533539,0,0.3,37.3978434788659,58.2193058339832,20.8214623551173,1,1,38.6690115379615,60.1617668957527,21.4927553577912,1,1
"10",10,45,55,50.5129182242012,43.8944374602164,56.5544775745832,12.6600401143668,1,74.6650963727246,65.0380299986471,84.4152705935014,19.3772405948542,0,0.6,46.0357096571458,62.8543736400435,16.8186639828976,0,1,44.0647997901539,61.2372514468896,17.1724516567357,1,1
