,trial,N.pop,skew,lb.tdist,ub.tdist,cover.tdist,width.tdist,lb.bca.exp,ub.bca.exp,cover.bca.exp,width.bca.exp,lb.bayes.sdprior5,ub.bayes.sdprior5,cover.bayes.sdprior5,width.bayes.sdprior5,lb.bayes.sdprior10,ub.bayes.sdprior10,cover.bayes.sdprior10,width.bayes.sdprior10,lb.bayes.sdprior15,ub.bayes.sdprior15,cover.bayes.sdprior15,width.bayes.sdprior15,lb.bayes.sdprior20,ub.bayes.sdprior20,cover.bayes.sdprior20,width.bayes.sdprior20,lb.bayes.sdprior25,ub.bayes.sdprior25,cover.bayes.sdprior25,width.bayes.sdprior25,lb.bayes.sdprior30,ub.bayes.sdprior30,cover.bayes.sdprior30,width.bayes.sdprior30,muprior
1,1,10,-0.9,66.22983294,77.85730733,1,11.62747439,65.14417137,77.27256823,1,12.12839687,67.43379487,73.9537756,1,6.519980731,67.54470434,74.97476912,1,7.430064778,66.8146596,75.77790288,1,8.963243277,67.16128642,75.52387705,1,8.362590636,67.26379634,76.17994967,1,8.916153334,66.99290468,76.46223451,1,9.469329823,70
2,2,10,-0.9,42.59092784,72.91710488,1,30.32617704,39.24710482,69.52137976,1,30.27427494,65.42203782,74.25925626,1,8.83721844,63.11727374,74.8110933,1,11.69381955,63.64099676,77.38223586,1,13.7412391,60.00419783,79.31826349,1,19.31406566,57.54858879,76.99608611,1,19.44749732,60.46469291,78.82489867,1,18.36020576,70
3,3,10,-0.9,60.88407662,74.445271,1,13.56119439,60.70711402,73.77230975,1,13.06519572,65.65161032,74.67578324,1,9.024172921,64.55208451,76.0945329,1,11.54244839,63.56926092,77.52305694,1,13.95379602,61.95876635,77.53006193,1,15.57129559,64.1297401,80.25526428,1,16.12552419,61.35521643,80.27729862,1,18.92208219,70
4,4,10,-0.9,60.22543357,77.0190602,1,16.79362664,58.60707153,76.18626497,1,17.57919344,65.69878757,73.34678046,1,7.647992894,64.47913197,74.15728226,1,9.678150291,63.74719104,75.35467199,1,11.60748095,64.52870427,75.64534244,1,11.11663817,63.75185569,74.95273209,1,11.2008764,63.29606088,75.32853495,1,12.03247408,70
5,5,10,-0.9,56.12301258,69.40012405,1,13.27711147,56.47430434,69.40178408,1,12.92747974,63.71604527,70.71058181,1,6.99453654,61.69295197,70.0895282,1,8.396576224,60.24244534,70.11209627,1,9.869650934,59.79437418,69.27789582,1,9.483521646,59.48909838,69.27356575,1,9.784467366,59.2522615,69.10028614,1,9.848024637,70
6,6,10,-0.9,60.28513364,77.25631564,1,16.971182,58.89519333,75.4795033,1,16.58430997,65.98206382,73.50903406,1,7.526970241,64.78064119,74.61555797,1,9.834916779,64.7035253,74.31980625,1,9.616280952,64.29313386,74.68077436,1,10.3876405,63.54484124,74.96306246,1,11.41822121,62.10335075,74.65361333,1,12.55026258,70
7,7,10,-0.9,55.08762765,76.39547248,1,21.30784484,52.87206991,74.95570558,1,22.08363566,65.46895904,73.74391091,1,8.274951875,64.22316178,74.49052697,1,10.26736519,62.51676002,74.39696872,1,11.8802087,62.50666859,75.68486552,1,13.17819693,60.25345637,74.60157255,1,14.34811618,60.92121694,74.2699337,1,13.34871676,70
8,8,10,-0.9,62.06184415,72.8552741,1,10.79342995,61.52065311,72.24717613,1,10.72652302,65.89714726,71.96677821,1,6.069630945,64.67667454,72.16563337,1,7.488958833,64.01643529,71.93410342,1,7.917668132,63.67857289,72.11841154,1,8.439838646,63.35739006,72.38307722,1,9.025687156,63.39517262,72.0909363,1,8.695763676,70
9,9,10,-0.9,58.93514431,73.0438688,1,14.10872449,58.80409472,73.28014834,1,14.47605362,64.76490678,72.39386573,1,7.628958951,63.9236152,72.77325423,1,8.849639028,62.4002165,72.32363178,1,9.923415283,62.2042539,73.81511988,1,11.61086598,61.8001469,73.31006007,1,11.50991317,60.53567181,73.88634716,1,13.35067536,70
10,10,10,-0.9,61.613184,72.98744975,1,11.37426575,61.34902349,72.54435684,1,11.19533335,65.57175938,72.19620874,1,6.624449365,64.32757091,72.74882043,1,8.421249521,63.6122302,71.77254909,1,8.160318885,63.9243488,72.70281567,1,8.778466863,62.94405921,72.99959088,1,10.05553167,63.16465529,72.12210224,1,8.95744695,70
11,11,10,-0.9,59.06908157,76.89998661,1,17.83090505,58.30050559,75.89314751,1,17.59264192,66.47296972,73.46590365,1,6.992933933,64.32933852,74.05993019,1,9.730591663,63.49429321,75.34349983,1,11.84920662,61.83319827,74.57260648,1,12.73940822,62.45482617,76.11313452,1,13.65830834,62.8518193,75.20419747,1,12.35237817,70
12,12,10,-0.9,66.62389216,76.65936748,1,10.03547532,66.93622238,77.35506506,1,10.41884268,67.35621199,74.12803083,1,6.771818844,66.95302953,74.74429086,1,7.791261329,67.35411986,74.8565075,1,7.502387643,66.95248582,75.52822905,1,8.575743232,67.19626344,76.00620576,1,8.80994232,66.86713694,76.1383287,1,9.271191758,70
13,13,10,-0.9,60.23667742,74.07607213,1,13.83939471,61.10215782,73.81749382,1,12.715336,65.47971175,73.08435064,1,7.604638887,63.73981086,73.74864679,1,10.00883593,64.05348764,73.37185083,1,9.318363196,63.1213781,73.20450631,1,10.0831282,62.63165053,73.8634382,1,11.23178767,62.51167019,73.40528604,1,10.89361585,70
14,14,10,-0.9,57.26012276,75.94993227,1,18.68980951,58.38508197,76.94576874,1,18.56068678,65.79408496,73.2439912,1,7.449906241,63.82819067,73.80365513,1,9.975464458,63.65100193,75.05714633,1,11.4061444,61.7718892,75.00472027,1,13.23283106,62.13436477,74.99381045,1,12.85944568,62.5939852,74.3396006,1,11.7456154,70
15,15,10,-0.9,61.73752244,77.22126537,1,15.48374293,60.74222012,76.62118149,1,15.87896137,65.42847162,73.44980346,1,8.021331835,64.74735484,74.52078661,1,9.773431775,64.40074246,74.77550907,1,10.37476661,63.43641297,74.84071877,1,11.4043058,63.86398152,75.72245714,1,11.85847562,63.75138372,75.96579609,1,12.21441237,70
16,16,10,-0.9,67.48588786,77.81889674,1,10.33300889,67.26261341,77.77820461,1,10.5155912,67.87170908,74.72472812,1,6.853019047,67.4413286,75.01775004,1,7.576421448,67.45664882,76.39850412,1,8.9418553,67.3299079,76.65424783,1,9.324339931,67.71741365,76.44504958,1,8.727635928,67.57698752,76.79025524,1,9.213267723,70
17,17,10,-0.9,62.60641048,75.01478242,1,12.40837194,62.66887891,74.7917692,1,12.12289029,65.98798151,73.05842701,1,7.070445503,65.30105286,74.31943169,1,9.018378826,63.91786337,74.70887499,1,10.79101162,64.08821742,74.76154867,1,10.67333125,63.0081,75.16325391,1,12.15515391,62.62451524,74.52368442,1,11.89916918,70
18,18,10,-0.9,49.14475331,70.09639028,1,20.95163697,46.91729741,68.18095701,1,21.26365961,65.75973723,73.97339105,1,8.213653816,63.45071851,75.51799135,1,12.06727284,61.84380856,77.20601393,1,15.36220537,62.78498438,77.35715684,1,14.57217246,63.53130759,79.74954607,1,16.21823848,60.87763442,78.38416701,1,17.50653259,70
19,19,10,-0.9,54.75855334,77.82566082,1,23.06710748,49.80284093,75.32116869,1,25.51832775,65.64648028,72.88295037,1,7.236470092,63.64278415,74.42521199,1,10.78242784,63.06559803,73.85415621,1,10.78855818,62.18491531,75.18619763,1,13.00128233,61.31121887,74.97957077,1,13.6683519,60.2091632,75.93466831,1,15.72550511,70
20,20,10,-0.9,54.32536706,69.19761597,1,14.87224891,53.26528345,68.19617481,1,14.93089136,63.58283468,70.80278098,1,7.219946299,61.03806297,70.51713146,1,9.479068493,60.15137913,69.75782024,1,9.606441112,59.35720075,70.40400657,1,11.04680582,58.82662027,70.18329396,1,11.35667369,57.32737373,68.39189598,1,11.06452226,70
21,21,10,-0.9,69.75651755,83.17243878,0,13.41592123,64.49987494,80.629408,1,16.12953306,69.21561414,76.02175596,0,6.806141824,70.21082593,77.56823811,0,7.357412177,70.0687809,78.58047303,0,8.51169213,70.80364341,79.27236123,0,8.468717819,70.51033768,79.95382923,0,9.443491558,70.91613557,79.62683831,0,8.710702744,70
22,22,10,-0.9,53.8095471,70.89839727,1,17.08885017,52.40902727,69.26091213,1,16.85188486,63.96106803,72.13764111,1,8.176573077,61.83108824,70.64603556,1,8.814947319,60.71258078,71.55385324,1,10.84127246,58.55332903,71.27047584,1,12.71714681,59.68132965,70.76894607,1,11.08761642,58.22568488,70.82547381,1,12.59978893,70
23,23,10,-0.9,60.75344759,79.06953185,1,18.31608426,59.72374347,78.03011509,1,18.30637162,66.83397608,73.49477277,1,6.660796686,65.41603615,74.97960241,1,9.563566259,65.00644095,74.83849718,1,9.832056231,63.966665,75.1367023,1,11.1700373,64.53939933,75.47548275,1,10.93608342,63.4920613,75.84182024,1,12.34975895,70
24,24,10,-0.9,67.52406469,78.29262851,1,10.76856382,66.77900891,77.77899086,1,10.99998195,67.60554053,74.20342043,1,6.597879899,68.47753179,75.1168529,0,6.639321106,68.21562002,76.28803876,0,8.072418736,67.94950649,76.08010371,1,8.130597227,68.64041289,76.47170647,0,7.831293581,68.29498122,76.59661661,0,8.30163539,70
25,25,10,-0.9,45.9983878,68.84865484,1,22.85026704,38.91986496,65.96916546,0,27.0493005,63.68663487,71.60265064,1,7.916015764,60.44910941,70.12144001,1,9.672330601,58.99376938,71.20379692,1,12.21002754,57.59276984,70.30530261,1,12.71253277,56.48872859,69.24609473,1,12.75736614,55.66410312,69.79896975,1,14.13486663,70
26,26,10,-0.9,53.54970042,72.56153168,1,19.01183126,52.23089443,71.6572763,1,19.42638188,64.6415891,72.09848215,1,7.456893044,62.38940734,72.05863198,1,9.66922464,61.61372811,71.80839228,1,10.19466417,59.82708941,71.8150745,1,11.98798509,59.43326217,72.27018211,1,12.83691994,59.61709437,72.12361349,1,12.50651912,70
27,27,10,-0.9,55.07166318,77.41766009,1,22.34599692,54.89113308,75.53535249,1,20.64421941,65.64717602,73.02342916,1,7.376253143,63.60595186,74.09022387,1,10.48427201,62.37239745,74.09981051,1,11.72741306,61.40308425,74.74167629,1,13.33859204,61.99431744,74.61369176,1,12.61937432,61.78874839,74.74751572,1,12.95876733,70
28,28,10,-0.9,59.31063635,75.4318997,1,16.12126335,57.6470237,73.87732585,1,16.23030215,65.33634805,73.05114537,1,7.714797313,64.31278527,73.75236549,1,9.439580222,63.9196742,73.94004808,1,10.02037388,63.3329251,74.77014164,1,11.43721654,62.28416842,73.53409921,1,11.24993079,63.0379208,74.87967782,1,11.84175702,70
29,29,10,-0.9,63.70042862,74.32599469,1,10.62556607,62.65758241,73.47534427,1,10.81776186,66.20442804,72.97181296,1,6.767384926,65.69296118,73.40710917,1,7.714147992,65.81033295,73.69532193,1,7.884988981,65.77632109,73.74489839,1,7.9685773,64.97013577,74.28087669,1,9.31074092,64.28835033,73.43343635,1,9.145086019,70
30,30,10,-0.9,61.75778071,74.44204264,1,12.68426193,59.83001981,73.1606056,1,13.33058579,65.61242423,74.328712,1,8.716287773,65.23598913,77.08083739,1,11.84484826,64.11494254,77.70600244,1,13.5910599,63.26454879,78.62720496,1,15.36265617,65.14859408,80.02253428,1,14.8739402,60.24945106,80.4634103,1,20.21395924,70
31,31,10,-0.9,53.84728477,74.8236782,1,20.97639342,49.40545291,71.86159287,1,22.45613995,64.91045791,72.84915843,1,7.938700522,62.82551807,73.30965168,1,10.48413361,61.07501911,73.7185454,1,12.64352629,61.44503038,75.06071212,1,13.61568174,61.15584773,75.42522125,1,14.26937352,60.11409174,74.35331777,1,14.23922603,70
32,32,10,-0.9,64.43979083,77.8534438,1,13.41365297,63.79124969,77.06938291,1,13.27813323,66.76317115,73.72627133,1,6.963100179,67.16950005,74.18305371,1,7.013553664,66.72762673,75.13846096,1,8.410834226,66.11766696,75.66145621,1,9.543789251,66.75913921,75.52322325,1,8.76408404,66.29129292,75.39334951,1,9.102056594,70
33,33,10,-0.9,58.7484175,77.49122837,1,18.74281088,58.65987859,76.54500532,1,17.88512673,66.24395425,73.43330859,1,7.189354342,65.14557379,74.24351649,1,9.097942693,63.28914934,74.97856487,1,11.68941553,61.93228214,75.86037311,1,13.92809097,63.32381042,75.06452504,1,11.74071462,62.63378664,75.14319958,1,12.50941293,70
