,trial,mean1,mean2,median.sampsmu1,lb.mu1,ub.mu1,width.mu1,cover.mu1,median.samps.mu2,lb.mu2,ub.mu2,width.mu2,cover.mu2,perc.correct,lb.tdist,ub.tdist,width.tdist,cover.tdist.mean1,cover.tdist.mean2,lb.bca.exp,ub.bca.exp,width.bca.exp,cover.bca.exp.mean1,cover.bca.exp.mean2
1,1,35,65,44.52105,37.05120881,53.23411705,16.18290825,0,76.52775853,71.29153093,81.17310489,9.881573959,0,0.88,45.00329114,63.48629363,18.48300249,0,0,44.91775567,63.73802826,18.82027258,0,0
2,2,35,65,42.41331549,35.03897713,48.83777519,13.79879806,0,71.48564348,63.5052008,82.12360652,18.61840572,1,0.88,35.28340541,49.64296364,14.35955823,0,0,36.17068723,49.28809163,13.11740439,0,0
3,3,35,65,43.10330615,36.46915255,51.66691289,15.19776035,0,76.58302646,69.54956593,84.0812988,14.53173287,0,0.84,41.0072718,58.56722664,17.55995484,0,0,41.44583296,58.7671238,17.32129084,0,0
4,4,35,65,46.41063358,37.04527037,55.05658557,18.0113152,0,74.23483874,68.36653262,80.5760591,12.20952648,0,0.92,46.60203805,64.22192106,17.61988302,0,0,45.43680854,63.7909611,18.35415256,0,0
5,5,35,65,46.00321118,38.95373308,53.65023025,14.69649717,0,71.87404287,64.84233481,78.75219139,13.90985658,1,0.8,43.85911561,59.52069039,15.66157478,0,0,43.88512147,58.93974611,15.05462464,0,0
6,6,35,65,47.05216065,38.99389208,55.05720402,16.06331194,0,72.70586907,66.44533199,78.71898824,12.27365624,0,0.96,47.01362282,62.88075791,15.86713509,0,0,46.66356986,62.29128608,15.62771623,0,0
7,7,35,65,44.52415572,37.54375346,49.88600314,12.34224969,0,72.22439513,64.76688862,77.90897129,13.14208268,1,0.92,43.95482864,58.99344442,15.03861578,0,0,43.64209452,58.71980555,15.07771103,0,0
8,8,35,65,42.87290522,34.43944443,50.50398402,16.06453959,1,69.28467843,63.96010861,74.85675782,10.8966492,1,0.8,39.53469243,53.76977062,14.23507819,0,0,39.65439826,54.277943,14.62354475,0,0
9,9,35,65,44.37244999,35.9641326,52.20801355,16.24388094,0,73.47325624,67.24689689,79.60726062,12.36036373,0,0.8,42.24112519,57.81103344,15.56990826,0,0,42.72179082,58.48063267,15.75884186,0,0
10,10,35,65,44.55302327,36.27281734,54.42255513,18.14973779,0,68.58455429,64.20166481,72.52156479,8.319899983,1,0.96,43.20276863,59.73607585,16.53330722,0,0,43.46920009,58.96022184,15.49102175,0,0
