"","N.pop","skew","low.perc","high.perc","cover.perc","width.perc","low.perc.exp","high.perc.exp","cover.perc.exp","width.perc.exp","low.clt","high.clt","cover.clt","width.clt","low.tdist","high.tdist","cover.tdist","width.tdist","low.bca","high.bca","cover.bca","width.bca","low.bca.exp","high.bca.exp","cover.bca.exp","width.bca.exp"
"result.1",3,-0.9,0.198,0.08,0.722,20.7845103186247,0.197,0.078,0.725,20.9248935562339,0.167,0.053,0.78,24.8690994433325,0.066,0.016,0.918,54.5934176562578,0.197,0.139,0.664,18.1240198823339,0.197,0.078,0.725,20.9248935562339
"result.2",4,-0.9,0.174,0.06,0.766,19.2554675416656,0.124,0.028,0.848,25.4948932784094,0.153,0.032,0.815,22.6844096722105,0.073,0.011,0.916,36.8326100759532,0.152,0.07,0.778,20.340874034173,0.124,0.029,0.847,25.3506356849509
"result.3",5,-0.9,0.131,0.047,0.822,17.7703301667016,0.074,0.019,0.907,25.5621625916417,0.115,0.037,0.848,20.2309072286653,0.072,0.014,0.914,28.6581649738461,0.113,0.055,0.832,18.8721386163466,0.076,0.026,0.898,24.8621504917553
"result.4",6,-0.9,0.123,0.037,0.84,16.7826227045235,0.072,0.013,0.915,23.3027693613004,0.112,0.025,0.863,18.6969523432087,0.07,0.012,0.918,24.5214520791889,0.098,0.039,0.863,17.7902616529442,0.059,0.015,0.926,23.7975112777199
"result.5",7,-0.9,0.101,0.027,0.872,16.0944495325498,0.059,0.009,0.932,21.2451769382128,0.087,0.02,0.893,17.5469805411812,0.057,0.008,0.935,21.9060788969522,0.083,0.035,0.882,16.8330515081357,0.047,0.013,0.94,22.2088132528581
"result.6",8,-0.9,0.09,0.036,0.874,15.3534165090118,0.051,0.008,0.941,19.571246844255,0.08,0.024,0.896,16.5439506241074,0.05,0.008,0.942,19.9592994198561,0.081,0.043,0.876,16.0000348581712,0.043,0.014,0.943,20.3933473733996
"result.7",9,-0.9,0.086,0.031,0.883,14.7072026404606,0.051,0.015,0.934,18.1662028402692,0.083,0.027,0.89,15.6699042528587,0.058,0.013,0.929,18.4361551047682,0.071,0.04,0.889,15.2414473002228,0.046,0.015,0.939,18.9992182491601
"result.8",10,-0.9,0.062,0.028,0.91,14.200829849268,0.04,0.015,0.945,17.1754414672214,0.065,0.021,0.914,15.0293086462064,0.044,0.012,0.944,17.3462541866943,0.055,0.04,0.905,14.7099179856978,0.032,0.017,0.951,17.9984285321077
"result.9",11,-0.9,0.07,0.033,0.897,13.7314872562971,0.047,0.017,0.936,16.3062715627259,0.066,0.025,0.909,14.4548653017724,0.046,0.011,0.943,16.4323709077078,0.059,0.038,0.903,14.1668203547202,0.035,0.02,0.945,16.9831667048509
"result.10",12,-0.9,0.072,0.044,0.884,13.0255148897072,0.044,0.026,0.93,15.2257245584748,0.068,0.032,0.9,13.6124912999114,0.049,0.024,0.927,15.2861690525416,0.053,0.05,0.897,13.3781779804906,0.037,0.028,0.935,15.782738238267
"result.11",13,-0.9,0.075,0.022,0.903,12.6972156861613,0.051,0.013,0.936,14.6311487762971,0.074,0.018,0.908,13.2485106852146,0.057,0.013,0.93,14.7275638035352,0.063,0.029,0.908,13.0949742786245,0.04,0.015,0.945,15.2840259486216
"result.12",14,-0.9,0.061,0.027,0.912,12.2515075691735,0.043,0.014,0.943,13.9759000076818,0.06,0.023,0.917,12.7267533753269,0.045,0.01,0.945,14.0277954543818,0.05,0.039,0.911,12.593919860424,0.039,0.018,0.943,14.507896457797
"result.13",15,-0.9,0.052,0.024,0.924,11.9482170539807,0.035,0.011,0.954,13.5057198722638,0.053,0.016,0.931,12.3720355067786,0.037,0.007,0.956,13.5384576823393,0.042,0.032,0.926,12.2502249127311,0.024,0.018,0.958,13.9205158643885
"result.14",16,-0.9,0.065,0.027,0.908,11.5494457230297,0.049,0.014,0.937,12.9734511916508,0.069,0.022,0.909,11.9433054085402,0.052,0.011,0.937,12.9880371864871,0.054,0.035,0.911,11.8322789273437,0.037,0.02,0.943,13.3365262125608
"result.15",17,-0.9,0.056,0.023,0.921,11.4250437803293,0.048,0.008,0.944,12.73458944529,0.059,0.015,0.926,11.7816561920413,0.052,0.007,0.941,12.7428547934242,0.05,0.026,0.924,11.6887368494093,0.039,0.013,0.948,13.0656774855194
"result.16",18,-0.9,0.059,0.035,0.906,11.1411446161489,0.05,0.016,0.934,12.3374230651514,0.06,0.023,0.917,11.4628568709825,0.049,0.014,0.937,12.3390377514656,0.052,0.044,0.904,11.3657033786029,0.04,0.027,0.933,12.6591114375009
"result.17",19,-0.9,0.05,0.031,0.919,10.7959407417901,0.045,0.022,0.933,11.8711976052344,0.052,0.026,0.922,11.079019200349,0.046,0.02,0.934,11.8755896031974,0.047,0.038,0.915,11.0175899530717,0.038,0.026,0.936,12.1681183265115
"result.18",20,-0.9,0.039,0.025,0.936,10.5095312789835,0.027,0.013,0.96,11.5154322307414,0.037,0.018,0.945,10.7748081477687,0.033,0.01,0.957,11.506088079038,0.028,0.033,0.939,10.7147955819039,0.021,0.019,0.96,11.7804103776723
"result.19",21,-0.9,0.065,0.032,0.903,10.1358749723575,0.048,0.02,0.932,11.0608517296033,0.065,0.02,0.915,10.3963107702788,0.056,0.016,0.928,11.064451149601,0.05,0.041,0.909,10.3374962471064,0.041,0.031,0.928,11.2995819251655
"result.20",22,-0.9,0.047,0.032,0.921,9.98116522105775,0.037,0.021,0.942,10.850248700343,0.045,0.024,0.931,10.2138025678648,0.04,0.017,0.943,10.8371251160442,0.037,0.039,0.924,10.1573511598597,0.029,0.024,0.947,11.0568806418717
"result.21",23,-0.9,0.051,0.027,0.922,9.82371372503163,0.035,0.017,0.948,10.6285483848634,0.053,0.02,0.927,10.0342273368763,0.044,0.012,0.944,10.6172009342725,0.042,0.03,0.928,9.9794160125842,0.028,0.022,0.95,10.8206878803511
"result.22",24,-0.9,0.044,0.026,0.93,9.6943019267633,0.033,0.016,0.951,10.4508692283456,0.048,0.018,0.934,9.89581987949485,0.036,0.012,0.952,10.4444199515577,0.031,0.033,0.936,9.86349352640379,0.027,0.027,0.946,10.6675356493358
"result.23",25,-0.9,0.049,0.027,0.924,9.48945265004798,0.04,0.02,0.94,10.2003869667909,0.055,0.022,0.923,9.67463680540417,0.047,0.018,0.935,10.1874841770139,0.043,0.036,0.921,9.64030347912577,0.031,0.028,0.941,10.3834624208984
"result.24",26,-0.9,0.056,0.028,0.916,9.26851090628544,0.042,0.017,0.941,9.93891139308363,0.062,0.016,0.922,9.42737837796204,0.054,0.013,0.933,9.90614756163555,0.042,0.034,0.924,9.41309025210096,0.031,0.026,0.943,10.1007656825815
