"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","lb.bayes.sdprior5","ub.bayes.sdprior5","cover.bayes.sdprior5","width.bayes.sdprior5","lb.bayes.sdprior10","ub.bayes.sdprior10","cover.bayes.sdprior10","width.bayes.sdprior10","lb.bayes.sdprior15","ub.bayes.sdprior15","cover.bayes.sdprior15","width.bayes.sdprior15","lb.bayes.sdprior20","ub.bayes.sdprior20","cover.bayes.sdprior20","width.bayes.sdprior20","lb.bayes.sdprior25","ub.bayes.sdprior25","cover.bayes.sdprior25","width.bayes.sdprior25","lb.bayes.sdprior30","ub.bayes.sdprior30","cover.bayes.sdprior30","width.bayes.sdprior30","NA"
"1",1,10,-0.9,57.3624094351053,61.5485448996194,1,4.18613546451409,56.9715243276245,61.3380253065239,1,4.36650097889948,59.1558927615763,62.6718743969303,0,3.51598163535397,58.4648068440895,61.9449178063642,0,3.48011096227467,58.1706527806672,61.8453406701369,0,3.67468788946964,58.0851279050205,61.5442846385287,0,3.45915673350822,58.0758339694342,61.5661877932096,0,3.49035382377537,57.8216815429846,61.55846665654,1,3.73678511355545,70
"2",2,10,-0.9,48.724234815948,59.8092142282415,1,11.0849794122936,47.4737319911099,58.5192724351639,1,11.045540444054,65.2544194102416,74.0916378502607,0,8.8372184400191,62.5075951663625,74.6167375916576,0,12.109142425295,63.1840995325949,76.9215463201731,0,13.7374467875782,59.3343821925103,79.1486044778502,0,19.8142222853399,56.7860340228335,76.2906519110193,1,19.5046178881858,59.3851615532267,78.2399456032535,0,18.8547840500269,70
"3",3,10,-0.9,55.4377388337593,60.3201575020472,1,4.88241866828788,55.373999721823,60.0778579870628,1,4.70385826523984,57.8757170916879,61.4659493833362,1,3.59023229164828,57.1326442304352,60.6999768991717,1,3.56733266873655,56.6058764502027,60.490845201203,1,3.8849687510003,56.3835800604959,60.2796709205141,1,3.89609086001824,56.4123142608445,60.1758097300042,1,3.76349546915969,56.3311063838066,60.1554603791173,1,3.82435399531072,70
"4",4,10,-0.9,55.2004478949145,61.2467981431967,1,6.04635024828218,54.6174553098611,60.9468740141109,1,6.32941870424978,58.8179341883219,63.508428008992,0,4.69049382067015,57.2721717468312,62.2790194936447,1,5.00684774681348,56.8152546881001,62.0911919706096,1,5.27593728250944,56.6751423006702,61.7148084742512,1,5.03966617358095,56.1391106750874,61.5468911565802,1,5.40778048149284,56.2096031110738,61.5887609271041,1,5.37915781603029,70
"5",5,10,-0.9,53.7235289902995,58.5037915228448,1,4.78026253254529,53.8499476957379,58.5042945475469,1,4.65434685180909,56.930545811465,61.2343823165115,1,4.3038365050466,55.4649802403992,59.7662434445503,1,4.30126320415116,54.5705664159629,59.3610428250308,1,4.79047640906787,54.3718834154678,59.4342730449767,1,5.06238962950886,54.5656866650039,59.098201249148,1,4.5325145841441,54.3518810807348,58.9855602964523,1,4.6336792157175,70
"6",6,10,-0.9,55.2219467867153,61.3322106843247,1,6.11026389760936,54.721333472609,60.6924692794411,1,5.97113580683207,58.7735192253701,63.016667515508,0,4.24314829013794,57.4553353278662,61.8204993125855,1,4.36516398471926,57.0200823894066,61.4839988411914,1,4.46391645178472,56.7454396180217,61.3291262990442,1,4.58368668102245,56.5068247756227,61.2591288441759,1,4.75230406855322,56.0112051730949,61.3540173552527,1,5.34281218215778,70
"7",7,10,-0.9,53.3500800157604,61.0223783311668,1,7.67229831540642,52.5518882506789,60.5036865636667,1,7.95179831298787,58.3502701743188,63.3077453426829,0,4.95747516836408,56.6800225590887,61.9372082619517,1,5.25718570286296,55.881575817367,61.2915215720964,1,5.40994575472941,55.4707751629636,61.0308858731173,1,5.56011071015372,55.0468834175629,60.7250174346109,1,5.67813401704802,54.9119803859455,60.7419769667629,1,5.82999658081741,70
"8",8,10,-0.9,55.8617732343456,59.747755658682,1,3.8859824243364,55.6668740318083,59.5287824940734,1,3.86190846226515,57.603469868946,60.8198765255936,1,3.21640665664767,56.9146196927425,60.1666292493366,1,3.25200955659414,56.6245482884827,59.941481987884,1,3.31693369940126,56.483163889108,59.8213903060848,1,3.33822641697676,56.3856846847184,59.6825222044493,1,3.2968375197309,56.2557794628879,59.6340188330834,1,3.37823937019544,70
"9",9,10,-0.9,54.7359893512098,59.8156415908722,1,5.07965223966242,54.6887337538603,59.9006586675037,1,5.21192491364344,57.7924856968722,62.1403456536009,1,4.3478599567287,56.5909471272085,61.0288962066161,1,4.43794907940759,56.042005230878,60.66810753127,1,4.62610230039196,55.5987463566096,60.6685595116957,1,5.06981315508607,55.4164281550911,60.5065751791257,1,5.09014702403457,55.1934138685067,60.2539710941963,1,5.06055722568966,70
"10",10,10,-0.9,55.7002696758655,59.7953203324022,1,4.09505065653673,55.6051355039162,59.6357671934349,1,4.03063168951874,57.5490398336044,61.0644972070424,1,3.51545737343804,56.8867328427443,60.3340013829414,1,3.44726854019711,56.4176301484222,60.1330386430399,1,3.71540849461766,56.4348074228138,59.9856906009314,1,3.55088317811759,56.202695446844,59.9343297417149,1,3.73163429487089,56.2322123082666,59.8141001236275,1,3.58188781536088,70
"11",11,10,-0.9,54.7841340770949,61.2039042859044,1,6.41977020880948,54.5073118505099,60.8413241519858,1,6.33401230147597,58.9623188636817,63.5543097941569,0,4.59199093047518,57.2836538636395,62.1267077490081,1,4.84305388536855,56.5590324698388,61.9553962295496,1,5.39636375971082,56.1270384614943,61.4163221662512,1,5.28928370475692,56.1878072415249,61.4164059033433,1,5.2285986618184,55.9435241630793,61.3550590290197,1,5.41153486594041,70
"12",12,10,-0.9,57.504313708292,61.1172554339819,1,3.61294172568985,57.6167514921771,61.3676911114916,1,3.75093961931454,65.4710585243552,74.2388238918421,0,8.7677653674869,63.0730425518397,75.8923509456287,0,12.819308393789,62.8419617689142,75.7761627081605,0,12.9342009392462,60.1150480642526,78.8393543754685,0,18.7243063112159,62.5880985041612,78.4912824394294,0,15.9031839352682,61.2817863802591,78.8188517876688,0,17.5370654074097,70
"13",13,10,-0.9,55.204692517381,60.1872143581646,1,4.98252184078352,55.5162627450966,60.0941213166971,1,4.57785857160044,58.1698130315719,62.5748316330835,0,4.40501860151153,56.7675337096731,61.3105408008367,1,4.54300709116364,56.5856121503438,61.1231470656502,1,4.53753491530637,56.1372019120112,60.5915052816922,1,4.45430336968108,55.8554294903879,60.6519952921412,1,4.79656580175331,55.7850827106686,60.5838424324661,1,4.79875972179743,70
