"","trial","N.pop","skew","lb.tdist","ub.tdist","cover.tdist","width.tdist","lb.bca.exp","ub.bca.exp","cover.bca.exp","width.bca.exp","median.posterior.mu","lb.bayes.sdprior20","ub.bayes.sdprior20","width.bayes.sdprior20","cover.bayes.sdprior20","median.posterior.sig","median.posterior.gam"
"1",1,10,-0.9,66.2298329391268,77.8573073331736,1,11.6274743940468,65.1441713667141,77.2725682349174,1,12.1283968682033,69.8457622439907,63.5756144298032,76.7180036213522,13.142389191549,1,10.9939870213472,0.542226838647144
"2",2,10,-0.9,56.1344371961038,74.5542885357711,1,18.4198513396674,55.4290030146839,73.317670913333,1,17.8886678986491,71.8595695991091,61.7414284624122,82.2327262047194,20.4912977423072,1,18.2495935925059,0.398312879258659
"3",3,10,-0.9,54.6521628254368,78.0094791752585,1,23.3573163498217,49.0720807214267,74.3135153344451,1,25.2414346130184,69.6799821239852,63.7628306777536,75.9923632459972,12.2295325682436,1,11.219380792782,0.538867849832915
"4",4,10,-0.9,53.5646264100859,73.8874761266621,1,20.3228497165762,50.9481679834205,71.8006994271149,1,20.8525314436943,70.0077594715137,63.0194814125786,78.5660555414511,15.5465741288725,1,12.1856978318157,0.471852922447101
"5",5,10,-0.9,63.5182250561868,79.4521446011055,1,15.9339195449186,61.4083867706595,77.9888991754859,1,16.5805124048264,70.4604919884188,62.5602188361305,77.8956029226205,15.33538408649,1,12.9100529975069,0.503564827079428
"6",6,10,-0.9,49.097339444926,69.8487415621995,1,20.7514021172735,49.3823054218553,70.6656867169461,1,21.2833812950908,70.5885335805763,63.4903558801216,80.1534663410336,16.663110460912,1,11.7082747420648,0.519745394407334
"7",7,10,-0.9,55.9583264571227,76.3571112169856,1,20.3987847598629,53.872634065917,75.0478765742341,1,21.1752425083171,70.7734797589015,61.2555257838377,80.2695527005565,19.0140269167188,1,12.6715520166322,0.600332560032337
"8",8,10,-0.9,62.7963817157638,77.2998389736716,1,14.5034572579078,62.3596336400156,76.1630711301825,1,13.8034374901669,70.0249794836799,62.8848570536346,77.7557756261371,14.8709185725024,1,11.4257579348687,0.462213565476729
"9",9,10,-0.9,62.1903714881961,79.0571053521464,1,16.8667338639503,62.2000187399544,79.3678467187358,1,17.1678279787814,70.1240860723051,63.3607280554845,77.8282478747141,14.4675198192296,1,13.779747521557,0.570751006513422
"10",10,10,-0.9,54.9804152538949,71.4823703400039,1,16.5019550861089,51.4635144830757,69.1328933200658,1,17.6693788369901,70.1523087286056,63.3887625811676,77.8901644929295,14.5014019117619,1,11.9953232679396,0.544624493124619
